PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,HasCabin,AgeGroup,Pclass_desc
1,0,3,male,22.0,1,0,7.25,S,0,Adult,Lower
2,1,1,female,38.0,1,0,71.2833,C,1,Adult,Upper
3,1,3,female,26.0,0,0,7.925,S,0,Adult,Lower
4,1,1,female,35.0,1,0,53.1,S,1,Adult,Upper
5,0,3,male,35.0,0,0,8.05,S,0,Adult,Lower
6,0,3,male,25.0,0,0,8.4583,Q,0,Adult,Lower
7,0,1,male,54.0,0,0,51.8625,S,1,MiddleAge,Upper
8,0,3,male,2.0,3,1,21.075,S,0,Child,Lower
9,1,3,female,27.0,0,2,11.1333,S,0,Adult,Lower
10,1,2,female,14.0,1,0,30.0708,C,0,Teen,Middle
11,1,3,female,4.0,1,1,16.7,S,1,Child,Lower
12,1,1,female,58.0,0,0,26.55,S,1,MiddleAge,Upper
13,0,3,male,20.0,0,0,8.05,S,0,Teen,Lower
14,0,3,male,39.0,1,5,31.275,S,0,Adult,Lower
15,0,3,female,14.0,0,0,7.8542,S,0,Teen,Lower
16,1,2,female,55.0,0,0,16.0,S,0,MiddleAge,Middle
17,0,3,male,2.0,4,1,29.125,Q,0,Child,Lower
18,1,2,male,30.0,0,0,13.0,S,0,Adult,Middle
19,0,3,female,31.0,1,0,18.0,S,0,Adult,Lower
20,1,3,female,21.5,0,0,7.225,C,0,Adult,Lower
21,0,2,male,35.0,0,0,26.0,S,0,Adult,Middle
22,1,2,male,34.0,0,0,13.0,S,1,Adult,Middle
23,1,3,female,15.0,0,0,8.0292,Q,0,Teen,Lower
24,1,1,male,28.0,0,0,35.5,S,1,Adult,Upper
25,0,3,female,8.0,3,1,21.075,S,0,Child,Lower
26,1,3,female,38.0,1,5,31.3875,S,0,Adult,Lower
27,0,3,male,25.0,0,0,7.225,C,0,Adult,Lower
28,0,1,male,19.0,3,2,263.0,S,1,Teen,Upper
29,1,3,female,21.5,0,0,7.8792,Q,0,Adult,Lower
30,0,3,male,25.0,0,0,7.8958,S,0,Adult,Lower
